,time,name,value,unit
0,2024-11-04 09:36:18.519790,dummy_instrument_random_number.param2,200,
1,2024-11-04 09:36:18.633947,dummy_instrument_random_number.param0,1,
2,2024-11-04 09:36:19.511749,dummy_instrument_random_number.param2,20,
3,2024-11-04 09:36:19.734190,dummy_instrument_random_number.param0,1,
4,2024-11-04 09:36:20.503839,dummy_instrument_random_number.param2,20,
5,2024-11-04 09:36:20.831128,dummy_instrument_random_number.param0,1,
6,2024-11-04 09:36:21.497802,dummy_instrument_random_number.param2,20,
7,2024-11-04 09:36:21.966943,dummy_instrument_random_number.param0,1,
8,2024-11-04 09:36:22.507738,dummy_instrument_random_number.param2,20,
9,2024-11-04 09:36:23.045446,dummy_instrument_random_number.param0,1,
10,2024-11-04 09:36:23.503963,dummy_instrument_random_number.param2,20,
11,2024-11-04 09:36:24.156509,dummy_instrument_random_number.param0,1,
12,2024-11-04 10:22:21.925859,dummy_instrument_random_number.param0,1,
13,2024-11-04 10:22:22.589551,dummy_instrument_random_number.param2,21,
14,2024-11-04 10:22:23.022312,dummy_instrument_random_number.param0,1,
15,2024-11-04 10:22:23.580629,dummy_instrument_random_number.param2,21,
16,2024-11-04 10:22:24.152395,dummy_instrument_random_number.param0,1,
17,2024-11-04 10:22:24.583768,dummy_instrument_random_number.param2,22,
18,2024-11-04 10:22:25.256939,dummy_instrument_random_number.param0,1,
19,2024-11-04 10:22:25.588329,dummy_instrument_random_number.param2,22,
20,2024-11-04 10:22:26.358370,dummy_instrument_random_number.param0,1,
21,2024-11-04 10:22:26.571994,dummy_instrument_random_number.param2,23,
22,2024-11-04 10:22:27.470825,dummy_instrument_random_number.param0,1,
23,2024-11-04 10:22:27.578984,dummy_instrument_random_number.param2,23,
24,2024-11-04 10:22:28.593237,dummy_instrument_random_number.param0,1,
25,2024-11-04 10:22:28.627407,dummy_instrument_random_number.param2,24,
26,2024-11-04 10:22:29.586643,dummy_instrument_random_number.param2,24,
27,2024-11-04 10:22:29.691660,dummy_instrument_random_number.param0,1,
28,2024-11-04 10:22:30.584835,dummy_instrument_random_number.param2,25,
29,2024-11-04 10:22:30.805260,dummy_instrument_random_number.param0,1,
30,2024-11-04 10:22:31.578748,dummy_instrument_random_number.param2,25,
31,2024-11-04 10:22:31.909344,dummy_instrument_random_number.param0,1,
32,2024-11-04 10:22:32.581698,dummy_instrument_random_number.param2,26,
33,2024-11-04 10:22:33.023029,dummy_instrument_random_number.param0,1,
34,2024-11-04 10:22:33.579906,dummy_instrument_random_number.param2,26,
35,2024-11-04 10:22:34.134305,dummy_instrument_random_number.param0,1,
36,2024-11-04 10:22:34.575211,dummy_instrument_random_number.param2,27,
37,2024-11-04 10:22:35.230863,dummy_instrument_random_number.param0,1,
38,2024-11-04 10:22:35.589411,dummy_instrument_random_number.param2,27,
39,2024-11-04 10:22:36.354672,dummy_instrument_random_number.param0,1,
40,2024-11-04 10:22:36.580839,dummy_instrument_random_number.param2,28,
41,2024-11-04 10:22:37.458064,dummy_instrument_random_number.param0,1,
42,2024-11-04 10:22:37.584881,dummy_instrument_random_number.param2,28,
43,2024-11-04 10:22:38.563993,dummy_instrument_random_number.param0,1,
44,2024-11-04 10:22:38.599245,dummy_instrument_random_number.param2,29,
45,2024-11-04 10:22:39.594554,dummy_instrument_random_number.param2,29,
46,2024-11-04 10:22:39.684882,dummy_instrument_random_number.param0,1,
47,2024-11-04 10:22:40.593993,dummy_instrument_random_number.param2,20,
48,2024-11-04 10:22:40.784271,dummy_instrument_random_number.param0,1,
49,2024-11-04 10:22:41.584331,dummy_instrument_random_number.param2,20,
50,2024-11-04 10:22:41.902476,dummy_instrument_random_number.param0,1,
51,2024-11-04 10:23:16.287002,dummy_instrument_random_number.param0,1,
52,2024-11-04 10:23:16.585281,dummy_instrument_random_number.param2,20,
53,2024-11-04 10:23:17.404555,dummy_instrument_random_number.param0,1,
54,2024-11-04 10:23:17.588492,dummy_instrument_random_number.param2,20,
55,2024-11-04 10:23:18.507468,dummy_instrument_random_number.param0,1,
56,2024-11-04 10:23:18.579112,dummy_instrument_random_number.param2,20,
57,2024-11-04 10:23:19.581796,dummy_instrument_random_number.param2,20,
58,2024-11-04 10:23:19.626376,dummy_instrument_random_number.param0,1,
59,2024-11-04 10:23:20.577982,dummy_instrument_random_number.param2,20,
60,2024-11-04 10:23:20.723963,dummy_instrument_random_number.param0,1,
61,2024-11-04 10:23:21.576431,dummy_instrument_random_number.param2,20,
62,2024-11-04 10:23:21.836471,dummy_instrument_random_number.param0,1,
63,2024-11-04 10:23:22.587618,dummy_instrument_random_number.param2,20,
64,2024-11-04 10:23:22.939548,dummy_instrument_random_number.param0,1,
65,2024-11-04 10:23:23.582003,dummy_instrument_random_number.param2,20,
66,2024-11-04 10:23:24.051107,dummy_instrument_random_number.param0,1,
67,2024-11-04 10:23:24.585078,dummy_instrument_random_number.param2,20,
68,2024-11-04 10:23:25.156854,dummy_instrument_random_number.param0,1,
69,2024-11-04 10:23:25.581346,dummy_instrument_random_number.param2,20,
70,2024-11-04 10:23:26.263487,dummy_instrument_random_number.param0,1,
71,2024-11-04 10:23:26.585919,dummy_instrument_random_number.param2,20,
72,2024-11-04 10:23:27.379017,dummy_instrument_random_number.param0,1,
73,2024-11-04 10:23:27.580030,dummy_instrument_random_number.param2,20,
74,2024-11-04 10:23:28.496653,dummy_instrument_random_number.param0,1,
75,2024-11-04 10:23:28.592653,dummy_instrument_random_number.param2,20,
76,2024-11-04 10:23:29.574421,dummy_instrument_random_number.param2,20,
77,2024-11-04 10:23:29.606758,dummy_instrument_random_number.param0,1,
78,2024-11-04 10:23:30.582188,dummy_instrument_random_number.param2,20,
79,2024-11-04 10:23:30.708212,dummy_instrument_random_number.param0,1,
80,2024-11-04 10:23:31.571781,dummy_instrument_random_number.param2,20,
81,2024-11-04 10:23:31.821769,dummy_instrument_random_number.param0,1,
82,2024-11-04 10:23:32.578985,dummy_instrument_random_number.param2,20,
83,2024-11-04 10:23:32.919386,dummy_instrument_random_number.param0,1,
84,2024-11-04 10:23:33.578362,dummy_instrument_random_number.param2,20,
85,2024-11-04 10:23:34.042763,dummy_instrument_random_number.param0,1,
86,2024-11-04 10:23:34.574950,dummy_instrument_random_number.param2,20,
87,2024-11-04 10:23:35.136292,dummy_instrument_random_number.param0,1,
88,2024-11-04 10:23:35.587655,dummy_instrument_random_number.param2,20,
89,2024-11-04 10:23:36.258951,dummy_instrument_random_number.param0,1,
90,2024-11-04 10:23:36.585091,dummy_instrument_random_number.param2,20,
91,2024-11-04 10:23:37.360672,dummy_instrument_random_number.param0,1,
92,2024-11-04 10:23:37.579215,dummy_instrument_random_number.param2,20,
93,2024-11-04 10:23:38.481561,dummy_instrument_random_number.param0,1,
94,2024-11-04 10:23:38.587349,dummy_instrument_random_number.param2,20,
95,2024-11-04 10:23:39.579287,dummy_instrument_random_number.param0,1,
96,2024-11-04 10:23:39.612117,dummy_instrument_random_number.param2,20,
97,2024-11-04 10:23:40.576090,dummy_instrument_random_number.param2,20,
98,2024-11-04 10:23:40.692721,dummy_instrument_random_number.param0,1,
99,2024-11-04 10:23:41.592674,dummy_instrument_random_number.param2,20,
100,2024-11-04 10:23:41.807014,dummy_instrument_random_number.param0,1,
101,2024-11-04 10:23:42.590995,dummy_instrument_random_number.param2,20,
102,2024-11-04 10:23:42.915536,dummy_instrument_random_number.param0,1,
103,2024-11-04 10:23:43.589242,dummy_instrument_random_number.param2,20,
104,2024-11-04 10:23:44.011083,dummy_instrument_random_number.param0,1,
105,2024-11-04 10:23:44.577927,dummy_instrument_random_number.param2,20,
106,2024-11-04 10:23:45.115176,dummy_instrument_random_number.param0,1,
107,2024-11-04 10:23:45.588099,dummy_instrument_random_number.param2,20,
108,2024-11-04 10:23:46.247674,dummy_instrument_random_number.param0,1,
109,2024-11-04 10:23:46.583468,dummy_instrument_random_number.param2,20,
110,2024-11-04 10:23:47.353870,dummy_instrument_random_number.param0,1,
111,2024-11-04 10:23:47.584795,dummy_instrument_random_number.param2,20,
112,2024-11-04 10:23:48.463000,dummy_instrument_random_number.param0,1,
113,2024-11-04 10:23:48.582955,dummy_instrument_random_number.param2,20,
114,2024-11-04 10:23:49.572463,dummy_instrument_random_number.param0,1,
115,2024-11-04 10:23:49.613246,dummy_instrument_random_number.param2,20,
116,2024-11-04 10:23:50.585321,dummy_instrument_random_number.param2,20,
117,2024-11-04 10:23:50.674575,dummy_instrument_random_number.param0,1,
118,2024-11-04 10:24:44.584376,dummy_instrument_random_number.param2,20,
119,2024-11-04 10:24:45.029305,dummy_instrument_random_number.param0,1,
120,2024-11-04 10:24:45.597548,dummy_instrument_random_number.param2,20,
121,2024-11-04 10:24:46.141623,dummy_instrument_random_number.param0,1,
122,2024-11-04 10:24:46.604176,dummy_instrument_random_number.param2,20,
123,2024-11-04 10:24:47.244471,dummy_instrument_random_number.param0,1,
124,2024-11-04 10:24:47.601646,dummy_instrument_random_number.param2,20,
125,2024-11-04 10:24:48.362006,dummy_instrument_random_number.param0,1,
126,2024-11-04 10:24:48.598630,dummy_instrument_random_number.param2,20,
127,2024-11-04 10:24:49.477253,dummy_instrument_random_number.param0,1,
128,2024-11-04 10:24:49.594811,dummy_instrument_random_number.param2,20,
129,2024-11-04 10:25:33.849843,dummy_instrument_random_number.param0,1,
130,2024-11-04 10:25:34.591176,dummy_instrument_random_number.param2,20,
131,2024-11-04 10:25:34.962320,dummy_instrument_random_number.param0,1,
132,2024-11-04 10:25:35.600767,dummy_instrument_random_number.param2,20,
133,2024-11-04 10:25:36.062921,dummy_instrument_random_number.param0,1,
134,2024-11-04 10:25:36.591942,dummy_instrument_random_number.param2,20,
135,2024-11-04 10:25:37.173766,dummy_instrument_random_number.param0,1,
136,2024-11-04 10:28:52.082424,dummy_instrument_random_number.param0,1,
